Handle, Task, Points
Oram," AR - ST Preperation Call - 31.5.2023", 10
Uisa," AR FG - Cluster Comments", 10
MonsterFG," AR FG - Create a GovWG Gitbook", 10
MonsterFG," AR FG - Merge documents", 10
Herbo," Call with AR-ST - 31.5.2023", 10
Zon," Call with David Orban & Felix - 1.6.2023", 10
Sun," Call with David Ezter & Felix Gov Experiment Framework - 12.6.2023", 10
Sun," Call with Felix & Mihaela Ulieru - 25.5.2023", 10
Sun," Call with Felix & Rafel - 17.5.2023", 10
Dalo," Call with Jeremy Pitt & Felix - 19.5.2023", 10
Maro," Call with Treasury Guild - Issue Gov WG Native Assets -17.5.2023", 10
Lisa," Create Gov Doc follow up tasks - 24.5.2023", 10
Vanic," Create Gov Framework GitBook & Docs - 22.6.2023", 10
Kora," Create a Gov educational event format", 10
Kora," Create a GovWG Onboarding Guide - 4.6.2023", 10
Kora," Create a Governance Round Proposal on SWAE - Earn 100 Gimbal", 10
Kora," Create a Governance WG Call intro Slidedeck Design -30.5.2023", 10
Kora," Create a Miro version of the initial Gov Framework", 10
Kora," Create a Pol.is - 14.6.2023", 10
Kora," Create a SC Proposal - 25.5.2023", 10
Kora," Create a SC Workshop -11.5.2023", 10
Kora," Create a SNET Experimentation - Problem Statement - 13.6.2023", 10
Sun," Create a v1.1 for the Gov Doc", 10
Sun," Create meeting invites - 27.5.2023", 10
Mologr," Create tasks for comments - 27.6.2023", 10
Mologr," DF FG ideation call - 1.6.2023", 10
Wombiro," DeepFunding Rewards Algorithm - Advisor Sprint Team - 22.5.2023", 10
Lara," Draft a DF Focus Group Document", 10
Lara," Draft a GovWG Agenda Template - 30.5.2023", 10
Lara," Draft a Governance Workgroup proposal", 10
Lara," Follow up with Jeremy Pitt - 30.5.2023", 10
Norumico," GOV Framework Doc (Initial) - Clean up - 12.6.2023", 10
Norumico," Gov Framework Doc follow up proccesses call - 22.6.2023", 10
Norumico," Gov Framework doc (Initial) - Create initial comment categories ", 10
Norumico," GovDoc - categorise and cluster comments - 30.5.2023", 10
Perona," Governance WG Notetaking & Summary - 17.8.2023 - 50 USD", 10
Perona," Governance Workgroup Fund Request - [Date] - [Number] [Currency]", 10
Lofta," Host SC Governance Workshop - 11.5.2023", 10
Olef," Issue 500K Governance Workgroup tokens - 17.5.2023", 10
Olef," Issue Gov WG NFT -", 10
KleinDegger," Join Governance WG Call #1 - 16.5.2023", 10
KleinDegger," Join Governance WG Call #2 - 23.5.2023", 10
KleinDegger," Join Governance WG Call #3 - 30.5.2023", 10
KleinDegger," Join Governance WG Call #4 - 6.6.2023", 10
KleinDegger," Join Governance WG Call #5 - 13.6.2023", 10
KleinDegger," Join Governance WG Call #6 - 21.6.2023", 10
KleinDegger," Join Governance WG Call #7 - 18.7.2023", 10
Qola," Join SC Governance Workshop - 11.5.2023", 10
Uisa," Notetaking GovWG - 30.5.2023", 10
Lofta," Recognize Gov Framework Contributors - 27.6.2023", 10
Lofta," Setup Gov WG Wallet at Treasury Guild - 15.5.2023", 10
Kora," Setup Gov WG basic structure", 10
Herbo," Setup a initial Governance Knowledge table - 30.5.2023", 10
